dataset,column,raw_inferred_dtype,recommended_dtype
olist_orders_dataset.csv,order_id,object,string (preserve ID tokens)
olist_orders_dataset.csv,customer_id,object,string (preserve ID tokens)
olist_orders_dataset.csv,order_status,object,string / category
olist_orders_dataset.csv,order_purchase_timestamp,object,datetime64[ns]
olist_orders_dataset.csv,order_approved_at,object,datetime64[ns]
olist_orders_dataset.csv,order_delivered_carrier_date,object,datetime64[ns]
olist_orders_dataset.csv,order_delivered_customer_date,object,datetime64[ns]
olist_orders_dataset.csv,order_estimated_delivery_date,object,datetime64[ns]
olist_order_items_dataset.csv,order_id,object,string (preserve ID tokens)
olist_order_items_dataset.csv,order_item_id,int64,int64
olist_order_items_dataset.csv,product_id,object,string (preserve ID tokens)
olist_order_items_dataset.csv,seller_id,object,string (preserve ID tokens)
olist_order_items_dataset.csv,shipping_limit_date,object,datetime64[ns]
olist_order_items_dataset.csv,price,float64,float64
olist_order_items_dataset.csv,freight_value,float64,float64
olist_order_payments_dataset.csv,order_id,object,string (preserve ID tokens)
olist_order_payments_dataset.csv,payment_sequential,int64,int64
olist_order_payments_dataset.csv,payment_type,object,string / category
olist_order_payments_dataset.csv,payment_installments,int64,int64
olist_order_payments_dataset.csv,payment_value,float64,float64
olist_order_reviews_dataset.csv,review_id,object,string (preserve ID tokens)
olist_order_reviews_dataset.csv,order_id,object,string (preserve ID tokens)
olist_order_reviews_dataset.csv,review_score,int64,int64
olist_order_reviews_dataset.csv,review_comment_title,object,string / category
olist_order_reviews_dataset.csv,review_comment_message,object,string / category
olist_order_reviews_dataset.csv,review_creation_date,object,datetime64[ns]
olist_order_reviews_dataset.csv,review_answer_timestamp,object,datetime64[ns]
olist_customers_dataset.csv,customer_id,object,string (preserve ID tokens)
olist_customers_dataset.csv,customer_unique_id,object,string (preserve ID tokens)
olist_customers_dataset.csv,customer_zip_code_prefix,int64,string (preserve ID tokens)
olist_customers_dataset.csv,customer_city,object,string / category
olist_customers_dataset.csv,customer_state,object,string / category
olist_products_dataset.csv,product_id,object,string (preserve ID tokens)
olist_products_dataset.csv,product_category_name,object,string / category
olist_products_dataset.csv,product_name_lenght,float64,float64
olist_products_dataset.csv,product_description_lenght,float64,float64
olist_products_dataset.csv,product_photos_qty,float64,float64
olist_products_dataset.csv,product_weight_g,float64,float64
olist_products_dataset.csv,product_length_cm,float64,float64
olist_products_dataset.csv,product_height_cm,float64,float64
olist_products_dataset.csv,product_width_cm,float64,float64
olist_sellers_dataset.csv,seller_id,object,string (preserve ID tokens)
olist_sellers_dataset.csv,seller_zip_code_prefix,int64,string (preserve ID tokens)
olist_sellers_dataset.csv,seller_city,object,string / category
olist_sellers_dataset.csv,seller_state,object,string / category
olist_geolocation_dataset.csv,geolocation_zip_code_prefix,int64,string (preserve ID tokens)
olist_geolocation_dataset.csv,geolocation_lat,float64,float64
olist_geolocation_dataset.csv,geolocation_lng,float64,float64
olist_geolocation_dataset.csv,geolocation_city,object,string / category
olist_geolocation_dataset.csv,geolocation_state,object,string / category
product_category_name_translation.csv,product_category_name,object,string / category
product_category_name_translation.csv,product_category_name_english,object,string / category
